Date,Open,High,Low,Close,Adj Close,Volume
"Dec 30, 2020","30,415.09","30,525.35","30,393.04","30,409.56","30,409.56","2,918,900"
"Dec 29, 2020","30,492.07","30,588.79","30,274.24","30,335.67","30,335.67","3,576,100"
"Dec 28, 2020","30,283.23","30,525.56","30,283.23","30,403.97","30,403.97","3,024,900"
"Dec 24, 2020","30,155.92","30,209.67","30,099.30","30,199.87","30,199.87","1,455,700"
"Dec 23, 2020","30,046.73","30,292.53","30,046.73","30,129.83","30,129.83","2,740,500"
"Dec 22, 2020","30,200.20","30,200.20","29,992.89","30,015.51","30,015.51","3,888,100"
"Dec 21, 2020","30,159.00","30,304.14","29,755.53","30,216.45","30,216.45","4,374,800"
"Dec 18, 2020","30,314.26","30,343.59","30,029.44","30,179.05","30,179.05","7,820,700"
"Dec 17, 2020","30,216.00","30,323.78","30,216.00","30,303.37","30,303.37","3,455,300"
"Dec 16, 2020","30,191.38","30,236.03","30,080.11","30,154.54","30,154.54","3,445,900"
"Dec 15, 2020","29,919.09","30,243.26","29,894.95","30,199.31","30,199.31","4,177,700"
"Dec 14, 2020","30,123.91","30,325.79","29,849.15","29,861.55","29,861.55","3,719,800"
"Dec 11, 2020","29,988.21","30,071.13","29,820.84","30,046.37","30,046.37","3,938,700"
"Dec 10, 2020","30,032.55","30,063.87","29,876.82","29,999.26","29,999.26","3,255,500"
"Dec 09, 2020","30,229.81","30,319.70","29,951.85","30,068.81","30,068.81","3,805,200"
"Dec 08, 2020","29,997.95","30,246.22","29,972.07","30,173.88","30,173.88","3,111,900"
"Dec 07, 2020","30,233.03","30,233.03","29,967.22","30,069.79","30,069.79","3,658,100"
"Dec 04, 2020","29,989.56","30,218.26","29,989.56","30,218.26","30,218.26","3,565,900"
"Dec 03, 2020","29,920.83","30,110.88","29,877.27","29,969.52","29,969.52","4,056,800"
"Dec 02, 2020","29,695.09","29,902.51","29,599.29","29,883.79","29,883.79","3,852,800"
"Dec 01, 2020","29,797.50","30,083.31","29,797.50","29,823.92","29,823.92","4,295,100"
"Nov 30, 2020","29,854.51","29,854.51","29,463.64","29,638.64","29,638.64","5,513,500"
"Nov 27, 2020","29,911.33","30,015.13","29,819.98","29,910.37","29,910.37","1,770,400"
"Nov 25, 2020","30,058.87","30,058.87","29,806.25","29,872.47","29,872.47","3,230,300"
"Nov 24, 2020","29,746.11","30,116.51","29,746.11","30,046.24","30,046.24","4,327,600"
"Nov 23, 2020","29,332.82","29,667.75","29,332.82","29,591.27","29,591.27","3,872,000"
"Nov 20, 2020","29,437.57","29,469.89","29,231.20","29,263.48","29,263.48","3,053,500"
"Nov 19, 2020","29,370.92","29,524.90","29,228.38","29,483.23","29,483.23","3,313,300"
"Nov 18, 2020","29,875.40","29,930.85","29,432.84","29,438.42","29,438.42","3,828,500"
"Nov 17, 2020","29,800.15","29,872.42","29,520.29","29,783.35","29,783.35","3,723,800"
"Nov 16, 2020","29,672.36","29,964.29","29,672.36","29,950.44","29,950.44","4,182,900"
"Nov 13, 2020","29,203.90","29,559.25","29,203.90","29,479.81","29,479.81","3,488,100"
"Nov 12, 2020","29,231.91","29,311.83","28,902.13","29,080.17","29,080.17","3,693,200"
"Nov 11, 2020","29,524.35","29,593.11","29,281.22","29,397.63","29,397.63","3,767,000"
"Nov 10, 2020","29,254.17","29,478.86","29,126.99","29,420.92","29,420.92","5,269,800"
"Nov 09, 2020","29,467.90","29,933.83","29,130.66","29,157.97","29,157.97","6,733,100"
"Nov 06, 2020","28,399.13","28,431.96","28,189.50","28,323.40","28,323.40","3,267,100"
"Nov 05, 2020","28,083.37","28,495.05","28,083.37","28,390.18","28,390.18","3,901,400"
"Nov 04, 2020","27,512.83","28,301.50","27,512.83","27,847.66","27,847.66","4,478,600"
"Nov 03, 2020","27,138.69","27,640.21","27,138.69","27,480.03","27,480.03","3,509,800"
"Nov 02, 2020","26,691.28","27,043.48","26,691.28","26,925.05","26,925.05","3,799,900"
"Oct 30, 2020","26,572.27","26,639.18","26,143.77","26,501.60","26,501.60","5,048,200"
"Oct 29, 2020","26,480.98","26,891.89","26,290.78","26,659.11","26,659.11","4,197,700"
"Oct 28, 2020","27,102.14","27,102.14","26,497.39","26,519.95","26,519.95","4,961,500"
"Oct 27, 2020","27,651.18","27,707.69","27,457.96","27,463.19","27,463.19","3,664,000"
"Oct 26, 2020","28,185.82","28,185.82","27,370.16","27,685.38","27,685.38","4,041,500"
"Oct 23, 2020","28,409.65","28,436.52","28,149.82","28,335.57","28,335.57","3,473,000"
"Oct 22, 2020","28,197.42","28,421.31","28,040.18","28,363.66","28,363.66","3,303,200"
"Oct 21, 2020","28,270.66","28,450.64","28,196.39","28,210.82","28,210.82","2,994,200"
"Oct 20, 2020","28,245.85","28,575.03","28,243.04","28,308.79","28,308.79","3,502,200"
"Oct 19, 2020","28,633.55","28,711.93","28,139.40","28,195.42","28,195.42","3,587,000"
"Oct 16, 2020","28,570.72","28,842.90","28,570.72","28,606.31","28,606.31","3,561,400"
"Oct 15, 2020","28,323.40","28,535.85","28,181.54","28,494.20","28,494.20","3,289,400"
