Date,Open,High,Low,Close,Adj Close,Volume,Month,Year
30-Dec-20,30415.09,30525.35,30393.04,30409.56,30409.56,2918900,Dec,2020
29-Dec-20,30492.07,30588.79,30274.24,30335.67,30335.67,3576100,Dec,2020
28-Dec-20,30283.23,30525.56,30283.23,30403.97,30403.97,3024900,Dec,2020
24-Dec-20,30155.92,30209.67,30099.3,30199.87,30199.87,1455700,Dec,2020
23-Dec-20,30046.73,30292.53,30046.73,30129.83,30129.83,2740500,Dec,2020
22-Dec-20,30200.2,30200.2,29992.89,30015.51,30015.51,3888100,Dec,2020
21-Dec-20,30159,30304.14,29755.53,30216.45,30216.45,4374800,Dec,2020
18-Dec-20,30314.26,30343.59,30029.44,30179.05,30179.05,7820700,Dec,2020
17-Dec-20,30216,30323.78,30216,30303.37,30303.37,3455300,Dec,2020
16-Dec-20,30191.38,30236.03,30080.11,30154.54,30154.54,3445900,Dec,2020
15-Dec-20,29919.09,30243.26,29894.95,30199.31,30199.31,4177700,Dec,2020
14-Dec-20,30123.91,30325.79,29849.15,29861.55,29861.55,3719800,Dec,2020
11-Dec-20,29988.21,30071.13,29820.84,30046.37,30046.37,3938700,Dec,2020
10-Dec-20,30032.55,30063.87,29876.82,29999.26,29999.26,3255500,Dec,2020
9-Dec-20,30229.81,30319.7,29951.85,30068.81,30068.81,3805200,Dec,2020
8-Dec-20,29997.95,30246.22,29972.07,30173.88,30173.88,3111900,Dec,2020
7-Dec-20,30233.03,30233.03,29967.22,30069.79,30069.79,3658100,Dec,2020
4-Dec-20,29989.56,30218.26,29989.56,30218.26,30218.26,3565900,Dec,2020
3-Dec-20,29920.83,30110.88,29877.27,29969.52,29969.52,4056800,Dec,2020
2-Dec-20,29695.09,29902.51,29599.29,29883.79,29883.79,3852800,Dec,2020
1-Dec-20,29797.5,30083.31,29797.5,29823.92,29823.92,4295100,Dec,2020
30-Nov-20,29854.51,29854.51,29463.64,29638.64,29638.64,5513500,Nov,2020
27-Nov-20,29911.33,30015.13,29819.98,29910.37,29910.37,1770400,Nov,2020
25-Nov-20,30058.87,30058.87,29806.25,29872.47,29872.47,3230300,Nov,2020
24-Nov-20,29746.11,30116.51,29746.11,30046.24,30046.24,4327600,Nov,2020
23-Nov-20,29332.82,29667.75,29332.82,29591.27,29591.27,3872000,Nov,2020
20-Nov-20,29437.57,29469.89,29231.2,29263.48,29263.48,3053500,Nov,2020
19-Nov-20,29370.92,29524.9,29228.38,29483.23,29483.23,3313300,Nov,2020
18-Nov-20,29875.4,29930.85,29432.84,29438.42,29438.42,3828500,Nov,2020
17-Nov-20,29800.15,29872.42,29520.29,29783.35,29783.35,3723800,Nov,2020
16-Nov-20,29672.36,29964.29,29672.36,29950.44,29950.44,4182900,Nov,2020
13-Nov-20,29203.9,29559.25,29203.9,29479.81,29479.81,3488100,Nov,2020
12-Nov-20,29231.91,29311.83,28902.13,29080.17,29080.17,3693200,Nov,2020
11-Nov-20,29524.35,29593.11,29281.22,29397.63,29397.63,3767000,Nov,2020
10-Nov-20,29254.17,29478.86,29126.99,29420.92,29420.92,5269800,Nov,2020
9-Nov-20,29467.9,29933.83,29130.66,29157.97,29157.97,6733100,Nov,2020
6-Nov-20,28399.13,28431.96,28189.5,28323.4,28323.4,3267100,Nov,2020
5-Nov-20,28083.37,28495.05,28083.37,28390.18,28390.18,3901400,Nov,2020
4-Nov-20,27512.83,28301.5,27512.83,27847.66,27847.66,4478600,Nov,2020
3-Nov-20,27138.69,27640.21,27138.69,27480.03,27480.03,3509800,Nov,2020
2-Nov-20,26691.28,27043.48,26691.28,26925.05,26925.05,3799900,Nov,2020
30-Oct-20,26572.27,26639.18,26143.77,26501.6,26501.6,5048200,Oct,2020
29-Oct-20,26480.98,26891.89,26290.78,26659.11,26659.11,4197700,Oct,2020
28-Oct-20,27102.14,27102.14,26497.39,26519.95,26519.95,4961500,Oct,2020
27-Oct-20,27651.18,27707.69,27457.96,27463.19,27463.19,3664000,Oct,2020
26-Oct-20,28185.82,28185.82,27370.16,27685.38,27685.38,4041500,Oct,2020
23-Oct-20,28409.65,28436.52,28149.82,28335.57,28335.57,3473000,Oct,2020
22-Oct-20,28197.42,28421.31,28040.18,28363.66,28363.66,3303200,Oct,2020
21-Oct-20,28270.66,28450.64,28196.39,28210.82,28210.82,2994200,Oct,2020
20-Oct-20,28245.85,28575.03,28243.04,28308.79,28308.79,3502200,Oct,2020
19-Oct-20,28633.55,28711.93,28139.4,28195.42,28195.42,3587000,Oct,2020
16-Oct-20,28570.72,28842.9,28570.72,28606.31,28606.31,3561400,Oct,2020
15-Oct-20,28323.4,28535.85,28181.54,28494.2,28494.2,3289400,Oct,2020
14-Oct-20,28731.3,28792.56,28461.73,28514,28514,3708000,Oct,2020
13-Oct-20,28764.95,28808.84,28604.35,28679.81,28679.81,5261100,Oct,2020
12-Oct-20,28671.12,28957.9,28659.67,28837.52,28837.52,4936800,Oct,2020
9-Oct-20,28533.61,28676.29,28440.63,28586.9,28586.9,3240500,Oct,2020
8-Oct-20,28348.86,28459.13,28265.56,28425.51,28425.51,3147500,Oct,2020
7-Oct-20,27971.36,28369.66,27971.36,28303.46,28303.46,3287500,Oct,2020
6-Oct-20,28214.24,28354.48,27728.03,27772.76,27772.76,4350300,Oct,2020
5-Oct-20,27825.42,28162.64,27825.42,28148.64,28148.64,3182100,Oct,2020
2-Oct-20,27536.39,27861.43,27382.94,27682.81,27682.81,3927700,Oct,2020
1-Oct-20,27940.63,28041.46,27669.26,27816.9,27816.9,3734500,Oct,2020
30-Sep-20,27514.64,28026.33,27511.06,27781.7,27781.7,4525500,Sep,2020
29-Sep-20,27560.24,27605.6,27338.09,27452.66,27452.66,3038200,Sep,2020
28-Sep-20,27362.14,27722.6,27362.14,27584.06,27584.06,4018600,Sep,2020
25-Sep-20,26694.51,27239.29,26635.38,27173.96,27173.96,3889000,Sep,2020
24-Sep-20,26716.09,27094.85,26537.01,26815.44,26815.44,4478100,Sep,2020
23-Sep-20,27413.6,27464.46,26716.12,26763.13,26763.13,4594700,Sep,2020
22-Sep-20,27170.34,27333.09,26989.93,27288.18,27288.18,4207200,Sep,2020
21-Sep-20,27484.71,27484.71,26715.15,27147.7,27147.7,5236600,Sep,2020
18-Sep-20,27864.87,27946.69,27487.97,27657.42,27657.42,6987100,Sep,2020
17-Sep-20,27834.18,28056.79,27647.93,27901.98,27901.98,4372300,Sep,2020
16-Sep-20,28031.69,28364.77,28021.67,28032.38,28032.38,4166500,Sep,2020
15-Sep-20,28139.76,28231.06,27931.45,27995.6,27995.6,4145200,Sep,2020
14-Sep-20,27718.74,28086.06,27718.74,27993.33,27993.33,3807500,Sep,2020
11-Sep-20,27613.86,27828.82,27448.15,27665.64,27665.64,4353300,Sep,2020
10-Sep-20,28022.51,28174.78,27447.08,27534.58,27534.58,4428500,Sep,2020
9-Sep-20,27711.71,28206.21,27704.54,27940.47,27940.47,4605900,Sep,2020
8-Sep-20,27925.23,27925.23,27464.9,27500.89,27500.89,5808600,Sep,2020
4-Sep-20,28341.05,28539.75,27664.68,28133.31,28133.31,6946400,Sep,2020
3-Sep-20,29090.7,29199.35,28074.76,28292.73,28292.73,6500800,Sep,2020
2-Sep-20,28736.79,29162.88,28713.53,29100.5,29100.5,5395100,Sep,2020
1-Sep-20,28439.61,28659.26,28290.72,28645.66,28645.66,4234100,Sep,2020
31-Aug-20,28643.66,28643.66,28363.55,28430.05,28430.05,5173200,Aug,2020
28-Aug-20,28601.29,28733.35,28487.98,28653.87,28653.87,3697400,Aug,2020
27-Aug-20,28384.07,28634.22,28363.93,28492.27,28492.27,4043400,Aug,2020
