DATE,GDP
2005-01-01,12761.337
2005-04-01,12910.022
2005-07-01,13142.873
2005-10-01,13332.316
2006-01-01,13603.933
2006-04-01,13749.806
2006-07-01,13867.469
2006-10-01,14037.228
2007-01-01,14208.569
2007-04-01,14382.363
2007-07-01,14535.003
2007-10-01,14681.501
2008-01-01,14651.039
2008-04-01,14805.611
2008-07-01,14835.187
2008-10-01,14559.543
2009-01-01,14394.547
2009-04-01,14352.85
2009-07-01,14420.312
2009-10-01,14628.021
2010-01-01,14721.35
2010-04-01,14926.098
2010-07-01,15079.917
2010-10-01,15240.843
2011-01-01,15285.828
2011-04-01,15496.189
2011-07-01,15591.85
2011-10-01,15796.46
2012-01-01,16019.758
2012-04-01,16152.257
2012-07-01,16257.151
2012-10-01,16358.863
2013-01-01,16569.591
2013-04-01,16637.926
2013-07-01,16848.748
2013-10-01,17083.137
2014-01-01,17104.555
2014-04-01,17432.909
2014-07-01,17721.657
2014-10-01,17849.912
2015-01-01,18003.399
2015-04-01,18223.577
2015-07-01,18347.425
2015-10-01,18378.803
2016-01-01,18470.156
2016-04-01,18656.207
2016-07-01,18821.359
2016-10-01,19032.58
2017-01-01,19237.435
2017-04-01,19379.232
2017-07-01,19617.288
2017-10-01,19937.963
2018-01-01,20242.215
2018-04-01,20552.653
2018-07-01,20742.723
2018-10-01,20909.853
2019-01-01,21115.309
2019-04-01,21329.877
2019-07-01,21540.325
2019-10-01,21747.394
2020-01-01,21561.139
2020-04-01,19520.114
2020-07-01,21170.252
2020-10-01,21494.731
2021-01-01,22048.894
