,index,Year,Month,State,Value,State Code
0,0,2006,April,Alabama,-0.022594606200431785,AL
1,1,2007,April,Alabama,-0.007017308224000013,AL
2,2,2008,April,Alabama,0.002997161644951056,AL
3,3,2009,April,Alabama,0.009359339636012437,AL
4,4,2010,April,Alabama,0.010793106166867164,AL
5,5,2011,April,Alabama,0.008926689452110956,AL
6,6,2012,April,Alabama,0.0072049506123373205,AL
7,7,2013,April,Alabama,0.004866571423140186,AL
8,8,2014,April,Alabama,0.008857282642892091,AL
9,9,2015,April,Alabama,0.006914576019021393,AL
10,10,2016,April,Alabama,0.002712850941143517,AL
11,11,2017,April,Alabama,-0.003752865919173813,AL
12,12,2018,April,Alabama,-0.006541814324301789,AL
13,13,2019,April,Alabama,-0.008165732245532967,AL
14,14,2020,April,Alabama,0.0068367372938660095,AL
15,15,2006,April,Alaska,-0.015369852396674566,AK
16,16,2007,April,Alaska,0.006513948150683321,AK
17,17,2008,April,Alaska,0.005894629959527799,AK
18,18,2009,April,Alaska,0.003346935325617015,AK
19,19,2010,April,Alaska,0.003935634508365175,AK
20,20,2011,April,Alaska,0.0031195013947293297,AK
21,21,2012,April,Alaska,0.001665017199760117,AK
22,22,2013,April,Alaska,0.0032117461582676157,AK
23,23,2014,April,Alaska,0.0018106091331396735,AK
24,24,2015,April,Alaska,0.004768163326269875,AK
25,25,2016,April,Alaska,0.006767136496977253,AK
26,26,2017,April,Alaska,0.009559726323254551,AK
27,27,2018,April,Alaska,0.012808590011040226,AK
28,28,2019,April,Alaska,0.013016918852244166,AK
29,29,2020,April,Alaska,0.007036349149543114,AK
30,30,2006,April,Arizona,-0.024758994908238418,AZ
31,31,2007,April,Arizona,-0.006630075483271289,AZ
32,32,2008,April,Arizona,-0.005160985885583279,AZ
33,33,2009,April,Arizona,0.009356836915273566,AZ
34,34,2010,April,Arizona,0.010791256874912662,AZ
35,35,2011,April,Arizona,0.008924991805327643,AZ
36,36,2012,April,Arizona,0.007203539718994263,AZ
37,37,2013,April,Arizona,0.009244381956965196,AZ
38,38,2014,April,Arizona,0.003688517799126297,AZ
39,39,2015,April,Arizona,0.00691434657218466,AZ
40,40,2016,April,Arizona,0.002712822678027315,AZ
41,41,2017,April,Arizona,0.005180827377510806,AZ
42,42,2018,April,Arizona,-0.006541814033600414,AZ
43,43,2019,April,Arizona,0.007797757591783374,AZ
44,44,2020,April,Arizona,0.008288840997463857,AZ
45,45,2006,April,Arkansas,-0.015378913336255087,AR
46,46,2007,April,Arkansas,0.006671865591896782,AR
47,47,2008,April,Arkansas,0.006012954168629818,AR
48,48,2009,April,Arkansas,0.007044067145350613,AR
49,49,2010,April,Arkansas,0.007287265328764033,AR
50,50,2011,April,Arkansas,0.00687714772659926,AR
51,51,2012,April,Arkansas,0.004899865699322064,AR
52,52,2013,April,Arkansas,0.006521277895844725,AR
53,53,2014,April,Arkansas,0.005564054993688989,AR
54,54,2015,April,Arkansas,0.003116484672048561,AR
55,55,2016,April,Arkansas,-0.0013573930262393704,AR
56,56,2017,April,Arkansas,-0.0066036137911183795,AR
57,57,2018,April,Arkansas,-0.005293222407718089,AR
58,58,2019,April,Arkansas,-0.004609461064048764,AR
59,59,2020,April,Arkansas,0.00915845799858872,AR
60,60,2006,April,Colorado,-0.020419043120194137,CO
61,61,2007,April,Colorado,0.0005705168486823857,CO
62,62,2008,April,Colorado,0.004978568721619811,CO
63,63,2009,April,Colorado,0.008879375305329914,CO
64,64,2010,April,Colorado,0.010640159063442723,CO
65,65,2011,April,Colorado,0.008452662492385727,CO
66,66,2012,April,Colorado,0.010421475809828048,CO
67,67,2013,April,Colorado,0.008165869840600288,CO
68,68,2014,April,Colorado,0.005238520288262357,CO
69,69,2015,April,Colorado,-0.004979802811443584,CO
70,70,2016,April,Colorado,-0.005417683194550545,CO
