,index,FIPS Code,State,Year,Month,Civilian Non-Institutional Population,Labor Force Total,Labor Force Percent of Population,Employment Total,Employment Percent of Population,Unemployment Total,Unemployment Rate,State Code
0,18451,1,Alabama,2005,January,"3,460,380","2,131,703",61.6,"2,025,399",58.5,"106,304",5,AL
1,18452,2,Alaska,2005,January,"476,092","341,438",71.7,"317,165",66.6,"24,273",7.1,AK
2,18453,4,Arizona,2005,January,"4,388,833","2,813,887",64.1,"2,684,510",61.2,"129,377",4.6,AZ
3,18454,5,Arkansas,2005,January,"2,100,215","1,320,144",62.9,"1,248,822",59.5,"71,322",5.4,AR
4,18455,6,California,2005,January,"26,644,965","17,439,739",65.5,"16,435,427",61.7,"1,004,312",5.8,CA
5,18456,37,Los Angeles County,2005,January,"7,353,751","4,761,864",64.8,"4,481,838",60.9,"280,026",5.9,
6,18457,8,Colorado,2005,January,"3,519,168","2,554,891",72.6,"2,416,722",68.7,"138,169",5.4,CO
7,18458,9,Connecticut,2005,January,"2,671,146","1,775,159",66.5,"1,687,677",63.2,"87,482",4.9,CT
8,18459,10,Delaware,2005,January,"639,183","422,854",66.2,"404,007",63.2,"18,847",4.5,DE
9,18460,11,District of Columbia,2005,January,"465,017","318,752",68.5,"293,054",63,"25,698",8.1,
10,18461,12,Florida,2005,January,"13,744,074","8,492,386",61.8,"8,206,242",59.7,"286,144",3.4,FL
11,18462,13,Georgia,2005,January,"6,671,455","4,529,287",67.9,"4,269,353",64,"259,934",5.7,GA
12,18463,15,Hawaii,2005,January,"947,670","617,673",65.2,"598,918",63.2,"18,755",3,HI
13,18464,16,Idaho,2005,January,"1,042,808","718,063",68.9,"686,859",65.9,"31,204",4.3,ID
14,18465,17,Illinois,2005,January,"9,585,780","6,380,668",66.6,"5,998,455",62.6,"382,213",6,IL
15,18466,18,Indiana,2005,January,"4,734,369","3,172,050",67,"2,994,570",63.3,"177,480",5.6,IN
16,18467,19,Iowa,2005,January,"2,269,436","1,613,752",71.1,"1,540,278",67.9,"73,474",4.6,IA
17,18468,20,Kansas,2005,January,"2,060,008","1,458,973",70.8,"1,380,627",67,"78,346",5.4,KS
18,18469,21,Kentucky,2005,January,"3,191,213","1,971,250",61.8,"1,863,475",58.4,"107,775",5.5,KY
19,18470,22,Louisiana,2005,January,"3,349,336","2,045,557",61.1,"1,931,637",57.7,"113,920",5.6,LA
20,18471,23,Maine,2005,January,"1,039,810","687,951",66.2,"654,877",63,"33,074",4.8,ME
21,18472,24,Maryland,2005,January,"4,232,709","2,900,672",68.5,"2,763,621",65.3,"137,051",4.7,MD
22,18473,25,Massachusetts,2005,January,"5,053,578","3,376,327",66.8,"3,211,964",63.6,"164,363",4.9,MA
23,18474,26,Michigan,2005,January,"7,723,279","5,069,412",65.6,"4,705,996",60.9,"363,416",7.2,MI
24,18475,27,Minnesota,2005,January,"3,911,758","2,878,253",73.6,"2,755,477",70.4,"122,776",4.3,MN
25,18476,28,Mississippi,2005,January,"2,143,800","1,317,464",61.5,"1,227,658",57.3,"89,806",6.8,MS
26,18477,29,Missouri,2005,January,"4,411,851","3,006,569",68.1,"2,827,349",64.1,"179,220",6,MO
27,18478,30,Montana,2005,January,"723,461","481,501",66.6,"460,719",63.7,"20,782",4.3,MT
28,18479,31,Nebraska,2005,January,"1,319,812","973,373",73.8,"934,503",70.8,"38,870",4,NE
29,18480,32,Nevada,2005,January,"1,790,521","1,201,124",67.1,"1,149,962",64.2,"51,162",4.3,NV
30,18481,33,New Hampshire,2005,January,"1,013,859","720,535",71.1,"694,605",68.5,"25,930",3.6,NH
