,index,FIPS Code,State,Year,Month,Civilian Non-Institutional Population,Labor Force Total,Labor Force Percent of Population,Employment Total,Employment Percent of Population,Unemployment Total,Unemployment Rate
0,20359,1,Alabama,2008,January,"3,577,198","2,182,712",61,"2,083,744",58.3,"98,968",4.5
1,20360,2,Alaska,2008,January,"498,693","352,640",70.7,"330,728",66.3,"21,912",6.2
2,20361,4,Arizona,2008,January,"4,822,624","3,048,650",63.2,"2,918,156",60.5,"130,494",4.3
3,20362,5,Arkansas,2008,January,"2,177,814","1,353,678",62.2,"1,284,620",59,"69,058",5.1
4,20363,6,California,2008,January,"27,453,421","18,047,064",65.7,"16,979,728",61.8,"1,067,336",5.9
5,20364,37,Los Angeles County,2008,January,"7,429,053","4,901,963",66,"4,614,310",62.1,"287,653",5.9
6,20365,8,Colorado,2008,January,"3,733,587","2,729,192",73.1,"2,615,692",70.1,"113,500",4.2
7,20366,9,Connecticut,2008,January,"2,718,370","1,869,605",68.8,"1,779,846",65.5,"89,759",4.8
8,20367,10,Delaware,2008,January,"673,835","449,481",66.7,"432,002",64.1,"17,479",3.9
9,20368,11,District of Columbia,2008,January,"475,485","331,102",69.6,"311,186",65.4,"19,916",6
10,20369,12,Florida,2008,January,"14,421,176","9,166,494",63.6,"8,780,743",60.9,"385,751",4.2
11,20370,13,Georgia,2008,January,"7,145,219","4,866,898",68.1,"4,601,237",64.4,"265,661",5.5
12,20371,15,Hawaii,2008,January,"972,401","640,525",65.9,"620,658",63.8,"19,867",3.1
13,20372,16,Idaho,2008,January,"1,125,010","753,003",66.9,"729,462",64.8,"23,541",3.1
14,20373,17,Illinois,2008,January,"9,782,110","6,709,673",68.6,"6,334,043",64.8,"375,630",5.6
15,20374,18,Indiana,2008,January,"4,858,075","3,222,317",66.3,"3,068,926",63.2,"153,391",4.8
16,20375,19,Iowa,2008,January,"2,313,758","1,671,514",72.2,"1,610,160",69.6,"61,354",3.7
17,20376,20,Kansas,2008,January,"2,104,656","1,488,330",70.7,"1,424,783",67.7,"63,547",4.3
18,20377,21,Kentucky,2008,January,"3,293,294","2,027,269",61.6,"1,919,001",58.3,"108,268",5.3
