"States and selected areas:  Employment status of the civilian noninstitutional population,",,,,,,,,,,
"January 1976 to date, seasonally adjusted",,,,,,,,,,
,,,,,,,,,,
FIPS Code,State and area,Period,,Civilian non-institutional population,Civilian labor force,,,,,
,,,,,Total,Percent of population,Employment,,Unemployment,
,,Year,Month,,,,Total,Percent of population,Total,Rate
,,Labor force,Labor force,,,,Labor force,,level,rate
,,,,,,,,,,
1,Alabama,1976,1,"2,605,000","1,484,555",57,"1,386,023",53.2,"98,532",6.6
2,Alaska,1976,1,"232,000","160,183",69,"148,820",64.1,"11,363",7.1
4,Arizona,1976,1,"1,621,000","964,120",59.5,"865,871",53.4,"98,249",10.2
5,Arkansas,1976,1,"1,536,000","889,044",57.9,"824,395",53.7,"64,649",7.3
6,California,1976,1,"15,621,000","9,774,280",62.6,"8,875,685",56.8,"898,595",9.2
37,Los Angeles County,1976,1,"5,273,000","3,381,856",64.1,"3,081,806",58.4,"300,050",8.9
8,Colorado,1976,1,"1,832,000","1,230,966",67.2,"1,160,104",63.3,"70,862",5.8
9,Connecticut,1976,1,"2,248,000","1,442,847",64.2,"1,301,974",57.9,"140,873",9.8
10,Delaware,1976,1,"417,000","261,418",62.7,"240,543",57.7,"20,875",8
11,District of Columbia,1976,1,"520,000","334,691",64.4,"305,677",58.8,"29,014",8.7
12,Florida,1976,1,"6,421,000","3,584,876",55.8,"3,238,460",50.4,"346,416",9.7
13,Georgia,1976,1,"3,522,000","2,244,770",63.7,"2,056,467",58.4,"188,303",8.4
15,Hawaii,1976,1,"583,000","407,457",69.9,"367,586",63.1,"39,871",9.8
16,Idaho,1976,1,"580,000","365,606",63,"345,182",59.5,"20,424",5.6
17,Illinois,1976,1,"8,127,000","5,123,609",63,"4,786,415",58.9,"337,194",6.6
18,Indiana,1976,1,"3,789,000","2,425,346",64,"2,265,849",59.8,"159,497",6.6
19,Iowa,1976,1,"2,066,000","1,329,798",64.4,"1,272,281",61.6,"57,517",4.3
20,Kansas,1976,1,"1,635,000","1,065,059",65.1,"1,020,396",62.4,"44,663",4.2
21,Kentucky,1976,1,"2,459,000","1,486,550",60.5,"1,402,625",57,"83,925",5.6
22,Louisiana,1976,1,"2,672,000","1,517,348",56.8,"1,421,440",53.2,"95,908",6.3
23,Maine,1976,1,"764,000","474,371",62.1,"433,260",56.7,"41,111",8.7
24,Maryland,1976,1,"2,954,000","1,899,337",64.3,"1,777,055",60.2,"122,282",6.4
25,Massachusetts,1976,1,"4,194,000","2,717,096",64.8,"2,432,377",58,"284,719",10.5
26,Michigan,1976,1,"6,417,000","3,952,851",61.6,"3,562,759",55.5,"390,092",9.9
27,Minnesota,1976,1,"2,788,000","1,829,382",65.6,"1,719,817",61.7,"109,565",6
28,Mississippi,1976,1,"1,640,000","963,611",58.8,"899,280",54.8,"64,331",6.7
29,Missouri,1976,1,"3,464,000","2,094,063",60.5,"1,969,511",56.9,"124,552",5.9
30,Montana,1976,1,"531,000","332,790",62.7,"313,402",59,"19,388",5.8
31,Nebraska,1976,1,"1,095,000","711,096",64.9,"687,431",62.8,"23,665",3.3
32,Nevada,1976,1,"451,000","321,579",71.3,"291,933",64.7,"29,646",9.2
33,New Hampshire,1976,1,"593,000","390,934",65.9,"365,509",61.6,"25,425",6.5
34,New Jersey,1976,1,"5,358,000","3,294,120",61.5,"2,954,259",55.1,"339,861",10.3
35,New Mexico,1976,1,"792,000","481,330",60.8,"439,744",55.5,"41,586",8.6
36,New York,1976,1,"13,196,000","7,658,970",58,"6,872,159",52.1,"786,811",10.3
51000,New York city,1976,1,"5,694,000","3,066,605",53.9,"2,723,016",47.8,"343,589",11.2
37,North Carolina,1976,1,"3,898,000","2,590,713",66.5,"2,424,106",62.2,"166,607",6.4
38,North Dakota,1976,1,"442,000","276,793",62.6,"267,268",60.5,"9,525",3.4
39,Ohio,1976,1,"7,701,000","4,754,858",61.7,"4,368,782",56.7,"386,076",8.1
40,Oklahoma,1976,1,"1,999,000","1,186,198",59.3,"1,116,824",55.9,"69,374",5.8
41,Oregon,1976,1,"1,716,000","1,078,645",62.9,"976,450",56.9,"102,195",9.5
42,Pennsylvania,1976,1,"8,774,000","5,122,733",58.4,"4,710,510",53.7,"412,223",8
44,Rhode Island,1976,1,"691,000","440,979",63.8,"406,706",58.9,"34,273",7.8
45,South Carolina,1976,1,"1,984,000","1,295,867",65.3,"1,200,437",60.5,"95,430",7.4
46,South Dakota,1976,1,"477,000","308,031",64.6,"297,972",62.5,"10,059",3.3
47,Tennessee,1976,1,"3,078,000","1,834,194",59.6,"1,723,616",56,"110,578",6
48,Texas,1976,1,"8,818,000","5,623,303",63.8,"5,294,695",60,"328,608",5.8
49,Utah,1976,1,"824,000","517,325",62.8,"487,063",59.1,"30,262",5.8
50,Vermont,1976,1,"339,000","215,575",63.6,"196,968",58.1,"18,607",8.6
51,Virginia,1976,1,"3,534,000","2,330,159",65.9,"2,187,531",61.9,"142,628",6.1
53,Washington,1976,1,"2,598,000","1,583,070",60.9,"1,448,543",55.8,"134,527",8.5
54,West Virginia,1976,1,"1,352,000","710,144",52.5,"657,179",48.6,"52,965",7.5
55,Wisconsin,1976,1,"3,245,000","2,128,893",65.6,"2,005,997",61.8,"122,896",5.8
56,Wyoming,1976,1,"270,000","176,214",65.3,"169,014",62.6,"7,200",4.1
1,Alabama,1976,2,"2,610,000","1,483,950",56.9,"1,385,675",53.1,"98,275",6.6
2,Alaska,1976,2,"234,000","160,022",68.4,"148,718",63.6,"11,304",7.1
4,Arizona,1976,2,"1,626,000","963,394",59.2,"865,215",53.2,"98,179",10.2
5,Arkansas,1976,2,"1,538,000","888,771",57.8,"824,008",53.6,"64,763",7.3
6,California,1976,2,"15,657,000","9,768,885",62.4,"8,871,553",56.7,"897,332",9.2
37,Los Angeles County,1976,2,"5,283,000","3,381,218",64,"3,081,497",58.3,"299,721",8.9
8,Colorado,1976,2,"1,837,000","1,230,680",67,"1,160,001",63.1,"70,679",5.7
9,Connecticut,1976,2,"2,251,000","1,442,118",64.1,"1,301,107",57.8,"141,011",9.8
10,Delaware,1976,2,"418,000","261,325",62.5,"240,545",57.5,"20,780",8
11,District of Columbia,1976,2,"519,000","334,767",64.5,"305,759",58.9,"29,008",8.7
12,Florida,1976,2,"6,437,000","3,583,970",55.7,"3,237,372",50.3,"346,598",9.7
13,Georgia,1976,2,"3,528,000","2,243,779",63.6,"2,055,366",58.3,"188,413",8.4
15,Hawaii,1976,2,"585,000","407,385",69.6,"367,403",62.8,"39,982",9.8
16,Idaho,1976,2,"582,000","365,295",62.8,"344,916",59.3,"20,379",5.6
17,Illinois,1976,2,"8,136,000","5,122,237",63,"4,785,460",58.8,"336,777",6.6
18,Indiana,1976,2,"3,793,000","2,424,387",63.9,"2,264,552",59.7,"159,835",6.6
19,Iowa,1976,2,"2,069,000","1,329,511",64.3,"1,271,866",61.5,"57,645",4.3
20,Kansas,1976,2,"1,637,000","1,064,471",65,"1,019,842",62.3,"44,629",4.2
21,Kentucky,1976,2,"2,465,000","1,486,110",60.3,"1,402,206",56.9,"83,904",5.6
22,Louisiana,1976,2,"2,678,000","1,516,595",56.6,"1,421,064",53.1,"95,531",6.3
23,Maine,1976,2,"766,000","474,272",61.9,"433,173",56.6,"41,099",8.7
24,Maryland,1976,2,"2,958,000","1,898,511",64.2,"1,776,509",60.1,"122,002",6.4
25,Massachusetts,1976,2,"4,198,000","2,716,261",64.7,"2,431,016",57.9,"285,245",10.5
26,Michigan,1976,2,"6,424,000","3,951,549",61.5,"3,560,591",55.4,"390,958",9.9
27,Minnesota,1976,2,"2,793,000","1,828,517",65.5,"1,719,004",61.5,"109,513",6
28,Mississippi,1976,2,"1,644,000","963,333",58.6,"899,114",54.7,"64,219",6.7
29,Missouri,1976,2,"3,469,000","2,092,849",60.3,"1,968,522",56.7,"124,327",5.9
30,Montana,1976,2,"532,000","332,686",62.5,"313,365",58.9,"19,321",5.8
31,Nebraska,1976,2,"1,096,000","710,770",64.9,"687,121",62.7,"23,649",3.3
32,Nevada,1976,2,"454,000","321,323",70.8,"291,651",64.2,"29,672",9.2
33,New Hampshire,1976,2,"595,000","390,586",65.6,"365,177",61.4,"25,409",6.5
34,New Jersey,1976,2,"5,363,000","3,293,155",61.4,"2,953,668",55.1,"339,487",10.3
35,New Mexico,1976,2,"795,000","481,103",60.5,"439,486",55.3,"41,617",8.7
36,New York,1976,2,"13,202,000","7,656,709",58,"6,871,169",52,"785,540",10.3
51000,New York city,1976,2,"5,692,000","3,065,430",53.9,"2,722,421",47.8,"343,009",11.2
37,North Carolina,1976,2,"3,905,000","2,589,914",66.3,"2,422,974",62,"166,940",6.4
38,North Dakota,1976,2,"443,000","276,615",62.4,"267,143",60.3,"9,472",3.4
39,Ohio,1976,2,"7,706,000","4,754,964",61.7,"4,368,157",56.7,"386,807",8.1
40,Oklahoma,1976,2,"2,003,000","1,185,846",59.2,"1,116,531",55.7,"69,315",5.8
41,Oregon,1976,2,"1,720,000","1,077,762",62.7,"975,742",56.7,"102,020",9.5
42,Pennsylvania,1976,2,"8,780,000","5,122,163",58.3,"4,709,350",53.6,"412,813",8.1
44,Rhode Island,1976,2,"692,000","440,950",63.7,"406,719",58.8,"34,231",7.8
45,South Carolina,1976,2,"1,988,000","1,295,652",65.2,"1,200,235",60.4,"95,417",7.4
46,South Dakota,1976,2,"478,000","307,916",64.4,"297,878",62.3,"10,038",3.3
47,Tennessee,1976,2,"3,084,000","1,832,969",59.4,"1,722,558",55.9,"110,411",6
48,Texas,1976,2,"8,844,000","5,619,825",63.5,"5,291,252",59.8,"328,573",5.8
49,Utah,1976,2,"826,000","516,978",62.6,"486,695",58.9,"30,283",5.9
50,Vermont,1976,2,"340,000","215,467",63.4,"196,846",57.9,"18,621",8.6
51,Virginia,1976,2,"3,543,000","2,329,603",65.8,"2,187,080",61.7,"142,523",6.1
53,Washington,1976,2,"2,604,000","1,581,641",60.7,"1,447,552",55.6,"134,089",8.5
54,West Virginia,1976,2,"1,355,000","710,252",52.4,"657,268",48.5,"52,984",7.5
